Designator,Mid X,Mid Y,Rotation,Layer
1V8_C1,28.575,-55.499,270.0,top
1V8_C2,30.226,-46.749,90.0,top
1V8_C3,28.575,-46.749,90.0,top
1V8_C4,26.924,-46.749,90.0,top
1V8_R1,30.226,-55.499,270.0,top
1V8_R2,31.877,-55.499,90.0,top
1V8_REG1,28.956,-51.054,0.0,top
3V3_C1,67.7926,-58.674,270.0,top
3V3_C2,73.8886,-58.674,270.0,top
3V3_C3,73.1012,-52.3494,0.0,top
3V3_C4,73.1012,-54.2544,0.0,top
3V3_L1,69.4436,-55.118,0.0,top
3V3_LED1,76.5302,-56.0324,180.0,top
3V3_PWRSWITCH1,70.8406,-59.3598,270.0,top
3V3_R1,69.8246,-62.484,0.0,top
3V3_R2,72.9996,-62.484,0.0,top
3V3_R3,73.1012,-56.0324,0.0,top
3V7_C1,64.6176,-65.913,180.0,top
3V7_C2,61.8236,-60.325,180.0,top
3V7_FUZE1,68.8086,-66.802,0.0,top
3V7_MOSFET1,65.7606,-63.119,0.0,top
3V7_R1,64.9986,-58.547,180.0,top
3V7_R2,64.9986,-60.325,0.0,top
3V7_R3,69.825,-64.278,0.0,top
5V_C1,38.481,-2.9972,180.0,top
5V_C2,38.481,-4.9784,180.0,top
5V_C3,42.926,-2.9972,0.0,top
5V_C4,42.926,-4.9784,0.0,top
5V_LED1,80.9752,-12.573,180.0,top
5V_R1,77.724,-12.573,0.0,top
5V_REG1,41.9862,-16.4846,270.0,top
7V4_C1,18.9738,-11.8364,180.0,top
7V4_C2,18.9738,-15.0876,180.0,top
7V4_C3,18.9738,-13.462,180.0,top
7V4_C4,14.8336,-10.16,180.0,top
7V4_L1,26.6192,-10.7696,0.0,top
7V4_MOSFET1,27.94,-18.034,270.0,top
7V4_NPN1,18.4404,-18.0571,270.0,top
7V4_R1,17.9954,-8.5344,0.0,top
7V4_R2,14.8336,-8.5344,0.0,top
7V4_R3,14.8336,-16.764,0.0,top
7V4_R4,14.8336,-11.8364,0.0,top
7V4_R5,17.9832,-10.16,180.0,top
7V4_R8,77.724,-14.3256,0.0,top
BARO_C1,51.7144,-62.484,270.0,top
BATT7V4_D2,10.7432,-15.5956,0.0,top
BATT7V4_L1,11.684,-13.462,0.0,top
BATT7V4_R1,14.8336,-15.1384,180.0,top
BATT7V4_R2,14.8336,-13.462,180.0,top
BEACON_C1,21.59,-54.102,270.0,top
BOOT_R1,41.402,-24.4856,0.0,top
BOOT_R2,41.402,-26.0858,180.0,top
BT_C1,53.975,-23.495,270.0,top
BT_C2,52.0954,-23.495,270.0,top
BT_LED1,72.0598,-26.4668,0.0,top
BT_R1,53.2384,-20.9804,0.0,top
BT_R2,72.8472,-23.9268,270.0,top
BUZ_BUZZER1,31.115,-65.151,0.0,top
BUZ_NPN1,39.2176,-66.7766,270.0,top
BUZ_R1,24.13,-61.3918,90.0,top
BUZ_R2,39.0144,-69.6468,0.0,top
CLED_LED1,80.9752,-21.336,180.0,top
CLED_R1,77.724,-21.336,180.0,top
COUPLING_FB1,36.703,-52.8066,180.0,top
CRYSTAL_C1,34.4424,-40.9448,90.0,top
CRYSTAL_C2,34.4424,-43.9928,270.0,top
CRYSTAL_R1,36.9316,-43.2308,180.0,top
CRYSTAL_Y1,31.4198,-42.9514,270.0,top
D3,33.655,-71.755,0.0,top
DECOUPLE_C1,36.9062,-47.5488,180.0,top
DECOUPLE_C10,54.1528,-54.1528,270.0,top
DECOUPLE_C11,64.0334,-38.2524,0.0,top
DECOUPLE_C12,64.0334,-30.2006,0.0,top
DECOUPLE_C13,41.402,-27.686,180.0,top
DECOUPLE_C14,36.9062,-49.1998,180.0,top
DECOUPLE_C15,36.9062,-50.9016,180.0,top
DECOUPLE_C16,33.274,-52.8066,180.0,top
DECOUPLE_C17,64.008,-43.7388,0.0,top
DECOUPLE_C2,36.8808,-34.2392,180.0,top
DECOUPLE_C3,36.9062,-45.8978,180.0,top
DECOUPLE_C4,41.9,-53.35,180.0,top
DECOUPLE_C5,59.182,-54.1528,270.0,top
DECOUPLE_C6,53.1622,-26.8478,90.0,top
DECOUPLE_C7,48.1584,-26.8478,90.0,top
DECOUPLE_C8,36.8808,-39.8018,180.0,top
DECOUPLE_C9,49.1744,-54.1528,270.0,top
E1,63.9826,-6.985,0.0,top
GPS_C1,67.183,-34.277,270.0,top
GPS_L1,81.788,-37.4396,270.0,top
GPS_R1,81.788,-33.9598,90.0,top
ICM_C1,25.273,-46.749,90.0,top
ICM_C2,23.622,-46.749,90.0,top
J4,79.3242,-43.8658,90.0,top
J5,18.542,-69.0372,0.0,top
LED_7V4ENABLE1,80.9752,-14.3256,180.0,top
MEM_C1,48.26,-68.58,180.0,top
MEM_R1,44.069,-56.9976,180.0,top
PYROS_AND1,33.528,-28.448,270.0,top
PYROS_C1,28.956,-25.146,270.0,top
PYROS_C2,38.1,-25.4,270.0,top
PYROS_J1,5.2832,-39.9942,90.0,top
PYROS_J2,5.2832,-27.4974,90.0,top
PYROS_LED1,80.9752,-19.5834,180.0,top
PYROS_LED2,80.9752,-17.8308,180.0,top
PYROS_LED4,80.9752,-16.0782,180.0,top
PYROS_MOSFET1,12.573,-38.1,0.0,top
PYROS_MOSFET2,12.446,-25.654,0.0,top
PYROS_NPN1,19.558,-36.703,90.0,top
PYROS_NPN2,19.558,-24.13,90.0,top
PYROS_PNP1,21.5,-42.1375,90.0,top
PYROS_R1,17.018,-40.386,270.0,top
PYROS_R14,23.876,-24.003,270.0,top
PYROS_R15,22.225,-24.003,90.0,top
PYROS_R16,16.637,-24.003,90.0,top
PYROS_R17,77.724,-19.5834,180.0,top
PYROS_R18,77.724,-17.8308,180.0,top
PYROS_R19,77.724,-16.0782,180.0,top
PYROS_R2,18.7706,-40.386,270.0,top
PYROS_R3,17.018,-43.561,270.0,top
PYROS_R4,26.289,-25.781,180.0,top
PYROS_R5,25.527,-23.4188,90.0,top
PYROS_R6,24.0538,-36.576,270.0,top
PYROS_R7,22.352,-36.576,90.0,top
PYROS_R8,16.637,-36.2712,90.0,top
RST_C1,31.1404,-40.1828,180.0,top
RST_R1,31.1404,-38.5318,0.0,top
SW_J1,68.834,-46.355,0.0,top
U1,50.419,-40.4876,270.0,top
U10,45.593,-62.8904,270.0,top
U2,22.0019,-28.7884,0.0,top
U3,27.1272,-28.829,0.0,top
U5,74.168,-33.8836,0.0,top
U6,24.638,-51.054,180.0,top
U7,56.5,-60.0,90.0,top
U9,11.8872,-55.25,180.0,top
USB_BUS1,55.88,-73.66,0.0,top
USB_C1,58.166,-69.342,90.0,top
USB_C2,52.959,-68.326,0.0,top
USB_C3,52.959,-70.104,0.0,top
USB_CONNECTOR1,55.88,-69.342,90.0,top
USB_D1,60.2742,-66.802,270.0,top
USB_FB1,54.864,-66.548,180.0,top
VCAP_C1,57.4802,-54.1528,270.0,top
VCAP_C2,64.0334,-31.877,0.0,top
