Designator,Footprint,Quantity,Value,LCSC Part #
"1V8_C1, 1V8_C4, 3V3_C1, 3V7_C1, 5V_C1, 5V_C3, 7V4_C1, BEACON_C1, BT_C1, DECOUPLE_C1, DECOUPLE_C14, MEM_C1, USB_C3",0603,13,10uf,
"1V8_C2, 1V8_C3, 3V3_C2, 3V3_C4, 3V7_C2, 5V_C2, 5V_C4, 7V4_C3, 7V4_C4, BT_C2, DECOUPLE_C10, DECOUPLE_C11, DECOUPLE_C12, DECOUPLE_C13, DECOUPLE_C17, DECOUPLE_C2, DECOUPLE_C3, DECOUPLE_C4, DECOUPLE_C5, DECOUPLE_C6, DECOUPLE_C7, DECOUPLE_C8, DECOUPLE_C9, GPS_C1, ICM_C1, ICM_C2, PYROS_C1, PYROS_C2, RST_C1, USB_C1",0603,30,100nf,
1V8_R1,0603,1,12.2k,
"1V8_R2, 7V4_R4, 7V4_R5, BOOT_R2, BT_R1, PYROS_R15, PYROS_R16, PYROS_R2, PYROS_R5, PYROS_R7, PYROS_R8, RST_R1",0603,12,10k,
1V8_REG1,DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm,1,MCP1727-1802xMF,
"3V3_C3, 7V4_C2",0603,2,33uf,
3V3_L1,IND_LQH3NPN3R3MMEL,1,3.3uH,
"3V3_LED1, 5V_LED1, BATT7V4_L1, LED_7V4ENABLE1, PYROS_LED1, PYROS_LED2, PYROS_LED4",0603,7,GREEN,
3V3_PWRSWITCH1,VSON-10-1EP_3x3mm_P0.5mm_EP1.65x2.4mm,1,TPS61201DRCR,
3V3_R1,0603,1,3M 1%,
3V3_R2,0603,1,249k 1%,
"3V3_R3, 5V_R1, 7V4_R3, BOOT_R1, BT_R2, BUZ_R1, BUZ_R2, CLED_R1, MEM_R1, PYROS_R1, PYROS_R14, PYROS_R17, PYROS_R18, PYROS_R19, PYROS_R6",0603,15,1k5,
3V7_FUZE1,1210,1,0ZCH0075AF2E (750ma),
3V7_MOSFET1,SOT-23-3,1,PJA3411_R1_00001,
"3V7_R1, 7V4_R1",0603,2,100k 1%,
3V7_R2,0603,1,30k 1%,
3V7_R3,0603,1,100k,
5V_REG1,TO-263-3_TabPin2,1,LM1085-5.0,
7V4_L1,2920,1,2920L700/12MR,
7V4_MOSFET1,PG-TO252AA_INF,1,IRFR5505TRPBF,
"7V4_NPN1, BUZ_NPN1, PYROS_NPN1, PYROS_NPN2",SOT-23,4,MMBT3904,
7V4_R2,0603,1,64k 1%,
7V4_R8,0603,1,1k,
BARO_C1,0805,1,100nF,
BATT7V4_D2,D_SOD-123,1,MMSZ4678-TP,
"BATT7V4_R1, BATT7V4_R2",0603,2,68 1%,
BT_LED1,0603,1,BLUE,
BUZ_BUZZER1,SMTB-0927-TW-R_PUI,1,SMTB-0927-TW-R,
CLED_LED1,0603,1,RED,
"COUPLING_FB1, USB_FB1",0805,2,120R,
"CRYSTAL_C1, CRYSTAL_C2",0603,2,8pF,
CRYSTAL_R1,0603,1,0R,
CRYSTAL_Y1,XTAL_TSX-3225_26.0000MF09Z-AC0,1,26MHz,
D3,D_SOD-123,1,BUZ_D_Schottky,
"DECOUPLE_C15, DECOUPLE_C16",0603,2,10nF,
E1,HM-10,1,HM-10,
GPS_L1,0805,1,100nH,
GPS_R1,0603,1,10R,
J4,SMA_Wurth_60312002114503_Vertical,1,RF2-04A-T-00-50-G,
J5,SMA_Wurth_60312002114503_Vertical,1,RFM_Conn_Coaxial,
PYROS_AND1,SOIC-14_3.9x8.7mm_P1.27mm,1,SN74HC08DR,
PYROS_J1,TerminalBlock_RND_205-00012_1x02_P5.00mm_Horizontal,1,Pyro_Main,
PYROS_J2,TerminalBlock_RND_205-00012_1x02_P5.00mm_Horizontal,1,Pyro_Drogue,
"PYROS_MOSFET1, PYROS_MOSFET2",TDSON-8-1,2,CSD17310Q5A,
PYROS_PNP1,SOT-23,1,BC857,
PYROS_R3,0603,1,68R ±1%,
PYROS_R4,0603,1,390k ±1%,
SW_J1,PinHeader_1x05_P2.00mm_Vertical,1,SYS_Conn_01x05_Socket,
U1,LQFP-144_20x20mm_P0.5mm,1,STM32F412ZGTx,
U10,SON127P600X800X80-9N,1,W25Q512JVEIQ,
U2,SOT-23-5,1,TLV2371DBV,
U3,SC-74A_SOT753_NEX,1,74LV1T87GVH,
U5,L76_QWS,1,L76L-M33,
U6,ICM-L,1,ICM-20948,
U7,MS5803-01BA01_TEC,1,MS580301BA01-00,
U9,RFM22b-S2,1,RFM22B,
USB_BUS1,USB_Micro-B_Molex-105017-0001,1,USB_B_Micro,
USB_C2,0603,1,1uf,
USB_CONNECTOR1,SOT-666,1,USBLC6-2P6,
USB_D1,D_SOD-123,1,B260A-13-F,
"VCAP_C1, VCAP_C2",0603,2,4.7uF,
